station_id,station_name,lat,lon
8730667,"Alabama Point, AL",30.27861,-87.555
8739803,"Bayou La Batre Bridge, AL",30.40625,-88.247806
8731952,"BON SECOUR, AL",30.3033,-87.735
8737138,"Chickasaw Creek, AL",30.7819,-88.07361
8736897,"Coast Guard Sector Mobile, AL",30.648306,-88.058306
8735184,"DAUPHIN ISLAND (TEMP), AL",30.2517,-88.08
8735181,"Dauphin Island Hydro, AL",30.251319,-88.079486
8735180,"Dauphin Island, AL",30.25,-88.075
8735391,"Dog River Bridge, AL",30.565167,-88.088
8735523,"East Fowl River Bridge, AL",30.443611,-88.113889
8731439,"Gulf Shores, ICWW, AL",30.2799,-87.68428
8731269,"GULF SHORES, AL",30.2483,-87.6683
8737373,"Lower Bryant Landing, AL",30.9783,-87.8733
8733839,"Meaher State Park, Mobile Bay, AL",30.66717,-87.9364
8737048,"Mobile State Docks, AL",30.70461,-88.03961
8735587,"NORTH POINT, DAUPHIN ISLAND, AL",30.2583,-88.1133
8730849,"PETERSON POINT, WOLF BAY, AL",30.355,-87.6
8733821,"Point Clear, Mobile Bay, AL",30.486639,-87.934528
8732828,"Weeks Bay, Mobile Bay, AL",30.416889,-87.825389
8738043,"West Fowl River Bridge, AL",30.376639,-88.158556
9461380,"Adak Island, AK",51.863306,-176.632
9455120,"AGNES COVE,",59.7733,-149.588
9456901,"AGUCHIK ISLAND, KUKAK BAY,",58.29,-154.27
9455145,"AIALIK BAY, NORTH END,",59.9533,-149.715
9455146,"AIALIK SILL, AIALIK BAY,",59.885,-149.718
9468283,"Akeftapak, St. Lawrence Island, AK",63.7185,-171.6447
9462719,"Akun Cove, Akun Island, AK",54.2333,-165.533
9462694,"Akutan, Alaska, AK",54.13328,-165.8
9457804,"Alitak,",56.8974,-154.248
9455606,"Anchor Point, Cook Inlet,",59.771972,-151.867028
9451317,"Anchor Point,",56.6383,-132.927
9455921,"ANCHORAGE (BACKUP ADR),",61.2383,-149.888
9455920,"Anchorage, AK",61.2375,-149.8904
9452141,"ANNEX CREEK ENTRANCE,",58.3167,-134.1
9454794,"Applegate Island,",60.6233,-148.165
9461710,"Atka,",52.232,-174.1726
9454755,"Bainbridge Point,",60.1967,-148.042
9451625,"Baranof, Warm Spring Bay,",57.0883,-134.825
9452318,"Barlow Cove,",58.3217,-134.878
9494935,"Barrow Offshore,",71.3601,-156.729861
9499176,"Barter Island, AK",70.1286,-143.611028
9455128,"BEAR COVE, AIALIK PENINSULA, KENAI PENIN,",59.8017,-149.615
